CNPJ_Fundo;Data_Referencia;Versao;Total_Necessidades_Liquidez;Disponibilidades;Titulos_Publicos;Titulos_Privados;Fundos_Renda_Fixa;Total_Investido;Direitos_Bens_Imoveis;Terrenos;Imoveis_Renda_Acabados;Imoveis_Renda_Construcao;Imoveis_Venda_Acabados;Imoveis_Venda_Construcao;Outros_Direitos_Reais;Acoes;Debentures;Bonus_Subscricao;Certificados_Deposito_Valores_Mobiliarios;Cedulas_Debentures;Fundo_Acoes;FIP;FII;FDIC;Outras_Cotas_FI;Notas_Promissorias;Acoes_Sociedades_Atividades_FII;Cotas_Sociedades_Atividades_FII;CEPAC;CRI;Letras_Hipotecarias;LCI;LIG;Outros_Valores_Mobliarios;Valores_Receber;Contas_Receber_Aluguel;Contas_Receber_Venda_Imoveis;Outros_Valores_Receber;Rendimentos_Distribuir;Taxa_Administracao_Pagar;Taxa_Performance_Pagar;Obrigacoes_Aquisicao_Imoveis;Adiantamento_Venda_Imoveis;Adiantamento_Alugueis;Obrigacoes_Securitizacao_Recebiveis;Instrumentos_Financeiros_Derivativos;Provisoes_Contigencias;Outros_Valores_Pagar;Total_Passivo
00.332.266/0001-31;2021-01-01;1;9045257.5;98857.58;0;0;8946399.92;539826100;539826100;0;539826100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5315640.79;5122022.71;0;193618.08;1401996.18;71521.89;0;0;0;650002.6;0;0;96268.89;612601.88;2832391.44
00.332.266/0001-31;2021-02-01;1;8599465.71;109950.95;0;0;8489514.76;540038035.07;540038035.07;0;540038035.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6381483.95;4882910.36;0;1498573.59;3953690.65;71521.9;0;0;0;650002.6;0;0;96268.89;772904.49;5544388.53
00.332.266/0001-31;2021-03-01;1;6042495.05;166124.25;0;0;5876370.8;540151354.51;540151354.51;0;540151354.51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5800249.82;4295701.66;0;1504548.16;36111.25;74853.63;0;0;0;650002.6;0;0;96268.89;814103.19;1671339.56
00.332.266/0001-31;2021-04-01;1;5376326.93;102225.95;0;0;5274100.98;540410120.8;540410120.8;0;540410120.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5246605.78;3713728.59;0;1532877.19;36111.25;74860.8;0;0;0;650002.6;0;0;96268.89;643361.75;1500605.29
00.332.266/0001-31;2021-05-01;2;5410967.41;137563.21;0;0;5273404.2;540746629.84;540746629.84;0;540746629.84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6255402.76;4792001.27;0;1463401.49;1240175.32;74802.31;0;0;0;650002.6;0;0;96268.89;656655.83;2717904.95
00.332.266/0001-31;2021-06-01;1;5747201.81;62996.44;0;0;5684205.37;540770514.65;540770514.65;0;540770514.65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4608371.82;4383741.13;0;224630.69;1240235.52;74887.05;0;0;0;650002.6;0;0;96268.89;630204.07;2691598.13
00.332.266/0001-31;2021-07-01;1;5819277.48;52343.74;0;0;5766933.74;540920661.85;540920661.85;0;540920661.85;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4515431.41;4280614.69;0;234816.72;36231.65;98308.56;0;0;0;650002.6;0;0;96268.89;725988.01;1606799.71
00.332.266/0001-31;2021-08-01;1;22099809.37;121986.93;0;0;21977822.44;541251678.74;541251678.74;0;541251678.74;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4246670.77;4016937.64;0;229733.13;2052338.93;98580.7;0;0;0;650002.6;0;0;96268.89;16329969.93;19227161.05
00.332.266/0001-31;2021-09-01;1;21407852.58;194764.89;0;0;21213087.69;541450757.78;541450757.78;0;541450757.78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5266587.64;3815588.35;0;1450999.29;1434192.25;99048.59;0;0;0;650002.6;0;0;96268.89;16535382.66;18814894.99
00.332.266/0001-31;2021-10-01;1;20542017.23;254059.65;0;0;20287957.58;541664375.54;541664375.54;0;541664375.54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5697797.07;4234209.84;0;1463587.23;986127.15;98382.56;0;0;0;650002.6;0;0;96268.89;16371999.56;18202780.76
