CNPJ_Fundo;Data_Referencia;Versao;Data_Informacao_Numero_Cotistas;Total_Numero_Cotistas;Numero_Cotistas_Pessoa_Fisica;Numero_Cotistas_Pessoa_Juridica_Nao_Financeira;Numero_Cotistas_Banco_Comercial;Numero_Cotistas_Corretora_Distribuidora;Numero_Cotistas_Outras_Pessoas_Juridicas_Financeira;Numero_Cotistas_Investidores_Nao_Residentes;Numero_Cotistas_Entidade_Aberta_Previdencia_Complementar;Numero_Cotistas_Entidade_Fechada_Previdência_Complementar;Numero_Cotistas_Regime_Proprio_Previdencia_Servidores_Publicos;Numero_Cotistas_Sociedade_Seguradora_Resseguradora;Numero_Cotistas_Sociedade_Capitalizacao_Arrendamento_Mercantil;Numero_Cotistas_FII;Numero_Cotistas_Outros_Fundos;Numero_Cotistas_Distribuidores_Fundo;Numero_Cotistas_Outros_Tipos;Valor_Ativo;Patrimonio_Liquido;Cotas_Emitidas;Valor_Patrimonial_Cotas;Percentual_Despesas_Taxa_Administracao;Percentual_Despesas_Agente_Custodiante;Percentual_Rentabilidade_Efetiva_Mes;Percentual_Rentabilidade_Patrimonial_Mes;Percentual_Dividend_Yield_Mes;Percentual_Amortizacao_Cotas_Mes
00.332.266/0001-31;2022-01-01;1;2022-01-31;4511;;;;;;;;;;;;;;;;561929944.4;554879108.67;2800149;198.160565266348;0.000129;0;0.002201;-0.003031;0.005232;0
00.332.266/0001-31;2022-02-01;1;2022-02-28;4494;;;;;;;;;;;;;;;;561300539.33;555145637.12;2800149;198.25574893336;0.000213;0;0.004113;0.00048;0.003633;0
00.332.266/0001-31;2022-03-01;2;2022-03-31;4424;4383;41;;;;;;;;;;;;;;561331342.9;554940922.77;2800149;198.182640555913;0.000171;0;0.003767;-0.000369;0.004136;0
00.332.266/0001-31;2022-04-01;1;2022-04-30;4386;;;;;;;;;;;;;;;;566565665.81;555304531.49;2800149;198.312493903003;0.000171;0;0.004187;0.000655;0.003532;0
00.332.266/0001-31;2022-05-01;1;2022-05-31;4304;;;;;;;;;;;;;;;;562259241.46;555123785.59;2800149;198.247945230772;0.000171;0;0.003457;-0.000325;0.003782;0
00.332.266/0001-31;2022-06-01;1;2022-06-30;4224;4180;44;;;;;;;;;;;;;;562559970.39;555534308.48;2800149;198.394552747015;0.000171;0;0.004523;0.00074;0.003783;0
00.332.266/0001-31;2022-07-01;1;2022-07-31;4171;;;;;;;;;;;;;;;;563597402.6;557034773.89;2800149;198.930404735605;0.000189;0;0.00633;0.002701;0.003629;0
00.332.266/0001-31;2022-08-01;1;2022-08-31;4131;;;;;;;;;;;;;;;;561656160.28;555549403.82;2800149;198.399943652998;0.000189;0;-5.3E-05;-0.002667;0.002614;0
00.613.094/0001-74;2022-01-01;1;2022-01-31;430;414;9;0;2;0;0;0;5;0;0;0;0;0;0;0;1132559.66;-7949662.93;758400;-10.4821504878692;0;0;-0.0036;-0.0036;0;0
00.613.094/0001-74;2022-02-01;1;2022-02-28;431;415;9;0;2;0;0;0;5;0;0;0;0;0;0;0;1142740.17;-8707885.16;758400;-11.4819160864979;0;0;-0.0524;-0.0524;0;0
00.613.094/0001-74;2022-03-01;1;2022-03-31;439;423;9;0;2;0;0;0;5;0;0;0;0;0;0;0;1153083.58;-9092234.96;758400;-11.9887064345992;0;0;-0.0441;-0.0441;0;0
00.613.094/0001-74;2022-04-01;1;2022-04-30;456;440;9;0;2;0;0;0;5;0;0;0;0;0;0;0;1160682.67;-9546407.61;758400;-12.5875627768987;0;0;-0.05;-0.05;0;0
00.613.094/0001-74;2022-05-01;1;2022-05-31;455;439;9;0;2;0;0;0;5;0;0;0;0;0;0;0;1163650.85;-9870075.03;758400;-13.0143394382911;0;0;-0.0339;-0.0339;0;0
00.613.094/0001-74;2022-06-01;1;2022-06-30;452;436;9;0;2;0;0;0;5;0;0;0;0;0;0;0;1166625.97;-10251131.4;758400;-13.5167871835443;0;0;-0.0386;-0.0386;0;0
00.613.094/0001-74;2022-07-01;1;2022-07-31;457;441;9;0;2;0;0;0;5;0;0;0;0;0;0;0;1167737.02;-10622559.8;758400;-14.0065398206751;0;0;-0.0362;-0.0362;0;0
00.613.094/0001-74;2022-08-01;1;2022-08-31;492;476;9;0;2;0;0;0;5;0;0;0;0;0;0;0;1163449.76;-10950151.5;758400;-14.4384909018987;0;0;-0.0308;-0.0308;0;0
00.613.094/0001-74;2022-09-01;1;2022-09-30;508;492;9;0;2;0;0;0;5;0;0;0;0;0;0;0;1158093.8;-11316865.81;758400;-14.9220277030591;0;0;-0.0335;-0.0335;0;0
00.762.723/0001-28;2022-01-01;1;2022-01-31;3633;;;;;;;;;;;;;;;;122690672.28;119008191.84;2902772;40.9981189841986;0.000372;0;-0.053224;-0.053755;0.000531;0
00.762.723/0001-28;2022-02-01;1;2022-02-28;3568;;;;;;;;;;;;;;;;121441612.88;118462423.71;2902772;40.8101027948458;0.000374;0;-0.004586;-0.004586;0;0
00.762.723/0001-28;2022-03-01;1;2022-03-31;3488;3478;6;;;;;;3;;;;1;;;;121435525.09;118436525.43;2902772;40.8011808815849;0.000374;0;-0.000219;-0.000219;0;0
00.762.723/0001-28;2022-04-01;1;2022-04-30;3427;;;;;;;;;;;;;;;;120706596.04;118328149.81;2902772;40.7638456654536;0.000374;0;-0.000915;-0.000915;0;0
00.762.723/0001-28;2022-05-01;1;2022-05-31;3399;;;;;;;;;;;;;;;;120046115.01;117762540.94;2902772;40.5689943750319;0.000376;0;-0.00478;-0.00478;0;0
00.762.723/0001-28;2022-06-01;1;2022-06-30;3356;3346;6;;;;;;3;;;;1;;;;119308294.85;117123446.31;2902772;40.3488273657042;0.000378;0;-0.005427;-0.005427;0;0
00.762.723/0001-28;2022-07-01;1;2022-07-31;3329;;;;;;;;;;;;;;;;118762832.93;116560622.53;2902772;40.1549355340344;0.00038;0;-0.004805;-0.004805;0;0
00.762.723/0001-28;2022-08-01;1;2022-08-31;3309;;;;;;;;;;;;;;;;118066846.8;115874720.49;2902772;39.9186434518453;0.000382;0;-0.005885;-0.005885;0;0
00.868.235/0001-08;2022-01-01;1;2022-01-31;7;;;;;;;;;;;;;;;;103505276;103372804.55;54316;1903.17410247441;0.000492;0;0.004147;0.004147;0;0
00.868.235/0001-08;2022-02-01;1;2022-02-28;7;;;;;;;;;;;;;;;;103908878.86;103792922.1;54316;1910.90879483025;0.00049;0;0.004064;0.004064;0;0
00.868.235/0001-08;2022-03-01;1;2022-03-31;7;3;;;;;;;2;;;;1;1;;;103320116.68;102785042.05;54316;1892.35293559909;0.000495;0;-0.005524;-0.00971;0.004186;0
00.868.235/0001-08;2022-04-01;1;2022-04-30;7;;;;;;;;;;;;;;;;103521350.08;102963803.85;54316;1895.64408001326;0.000494;0;0.005967;0.001739;0.004228;0
00.868.235/0001-08;2022-05-01;1;2022-05-31;7;;;;;;;;;;;;;;;;103705229.14;103156808.33;54316;1899.19744329479;0.000565;0;0.006094;0.001874;0.00422;0
00.868.235/0001-08;2022-06-01;1;2022-06-30;7;3;;;;;;;2;;;;;1;1;;103884378.47;103228587.18;54316;1900.51894800795;0.000565;0;0.005961;0.000696;0.005265;0
00.868.235/0001-08;2022-07-01;1;2022-07-31;7;;;;;;;;;;;;;;;;104006330.8;103082139.69;54316;1897.82273528979;0.000566;0;0.006474;-0.001419;0.007893;0
00.868.235/0001-08;2022-08-01;1;2022-08-31;7;;;;;;;;;;;;;;;;103903910.34;103249675.49;54316;1900.90720027248;0.000565;0;0.006894;0.001625;0.005269;0
01.201.140/0001-90;2022-01-01;1;2022-01-31;19198;;;;;;;;;;;;;;;;1131061086.63;1119557783.93;12203832;91.7382166462141;8.3E-05;0;0.011216;0.002823;0.008393;0
01.201.140/0001-90;2022-02-01;1;2022-02-28;19186;;;;;;;;;;;;;;;;1127661900.09;1120197062.39;12203832;91.7906000664382;8.3E-05;0;0.005476;0.000571;0.004905;0
01.201.140/0001-90;2022-03-01;1;2022-03-31;19046;19018;20;;;;2;;;;;;3;3;;;1129622021.61;1121419876;12203832;91.8907992178194;8.3E-05;0;0.006539;0.001092;0.005447;0
01.201.140/0001-90;2022-04-01;1;2022-04-30;19040;;;;;;;;;;;;;;;;1130586259.38;1120646877.33;12203832;91.8274585662929;8.3E-05;0;0.006385;-0.000689;0.007074;0
01.201.140/0001-90;2022-05-01;1;2022-05-31;19130;;;;;;;;;;;;;;;;1129628513.87;1120247855.81;12203832;91.7947621542152;8.3E-05;0;0.006069;-0.000356;0.006425;0
01.201.140/0001-90;2022-06-01;1;2022-06-30;19340;19314;18;;;;3;;;;;;3;2;;;1128684570.33;1119895771.83;12203832;91.7659118734181;8.3E-05;0;0.005254;-0.000314;0.005568;0
01.201.140/0001-90;2022-07-01;1;2022-07-31;19303;;;;;;;;;;;;;;;;1128318877.39;1119730179.17;12203832;91.7523429665371;8.3E-05;0;0.005628;-0.000148;0.005776;0
01.201.140/0001-90;2022-08-01;1;2022-08-31;19420;;;;;;;;;;;;;;;;1128935024.81;1119952411.71;12203832;91.7705530287536;8.3E-05;0;0.006192;0.000198;0.005994;0
01.235.622/0001-61;2022-01-01;3;2022-01-31;57;;;;;;;;;;;;;;;;3011575108.25;2569068488.97;935878;2745.08909170853;0.000807730821077473;;0.005793;0.005793;0;
01.235.622/0001-61;2022-02-01;1;2022-02-25;57;;;;;;;;;;;;;;;;3057466911.72;2591380519.6;935878;2768.92983871829;0.000747476518924743;;0.008685;0.008684;1E-06;
01.235.622/0001-61;2022-03-01;2;2022-03-31;57;42;;;;;;;;;;;;2;13;;3146591523.75;2663328668.27;935878;2845.80753930534;0.000849431899619628;;0.027765;0.027764;1E-06;
01.235.622/0001-61;2022-04-01;1;2022-04-29;57;;;;;;;;;;;;;;;;3138956725.31;2587128917.05;935878;2764.38693617117;0.000776175186619504;;0.006824;-0.02861;0.035434;
01.235.622/0001-61;2022-05-01;2;2022-05-31;57;;;;;;;;;;;;;;;;3048957283.34;2606845076.01;935878;2785.45395447911;0.000866413056450976;;0.00762;0.00762;;
01.235.622/0001-61;2022-06-01;1;2022-06-30;57;42;;;;;;;;;;;;2;13;;3154308137.47;2591794648.75;935878;2769.37234206809;0.000838172353294932;;0.007398;-0.005773;0.013171;
01.235.622/0001-61;2022-07-01;2;2022-07-29;57;42;;;;;;;;;;;;2;13;;3165216984.89;2611026661.1;935878;2789.92204229611;0.000826429278623654;;0.020591;0.00742;0.013171;
01.235.622/0001-61;2022-08-01;1;2022-08-31;57;;;;;;;;;;;;;;;;3168061773.27;2632589361.17;935878;2812.96211810727;0.000905222791351284;;0.008259;0.008258;1E-06;
01.356.517/0001-80;2022-01-01;1;2022-01-31;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;251672980.57;153461641.45;56701;2706.50678912188;0.0004;0;0.038687;0.038687;;
01.356.517/0001-80;2022-02-01;1;2022-02-28;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;253790526.18;157190991.11;56701;2772.27899172854;0.0004;0;0.024302;0.024302;;
01.356.517/0001-80;2022-03-01;1;2022-03-31;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;259516281.47;163396494.2;56701;2881.72156046631;0.0004;0;0.039477;0.039477;;
01.356.517/0001-80;2022-04-01;1;2022-04-30;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;265303936.99;169638403.5;56701;2991.80620271247;0.0004;0;0.038201;0.038201;;
01.356.517/0001-80;2022-05-01;1;2022-04-30;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;268735729.07;175982675.88;56701;3103.69615844518;0.0004;0;0.037399;0.037399;;
01.356.517/0001-80;2022-06-01;1;2022-06-30;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;274369490.57;149648623.81;56701;2639.25898679036;0.0004;0;0.03623;0.03623;;
01.356.517/0001-80;2022-07-01;1;2022-06-30;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;273874676.12;156468500.07;56701;2759.53687007284;0.0004;0;0.045573;0.045573;;
01.356.517/0001-80;2022-08-01;1;2022-08-31;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;279543205.64;163296494.98;56701;2879.95793689706;0.0004;0;0.043638;0.043638;;
01.497.954/0001-14;2022-01-01;1;2022-01-31;6;;;;;;;;;;;;;;;;141063890.28;140290074.55;8703994;16.1178965139452;0.000134;0;0.001192;0.001192;0;0
